coach_id,season,team,role
1,2026-summer,varsity,Team Manager
2,2026-summer,junior-varsity,Team Manager
3,2025-2026,varsity,Team Manager
4,2024-2025,junior-varsity,Team Manager
5,2025-2026,varsity,Head Coach
5,2026-summer,varsity,Head Coach
6,2025-2026,junior-varsity,Head Coach
6,2026-summer,junior-varsity,Head Coach
7,2025-2026,junior-varsity,Assistant Coach
7,2026-summer,junior-varsity,Assistant Coach
8,2025-2026,varsity,Assistant Coach
8,2026-summer,varsity,Assistant Coach
9,2024-2025,varsity,Head Coach
