player_id,season,gp,g,a,pts,pim,ppg,shg,gwg,w,l,t,otl,sa,ga,sv,so,mp
1,2026-summer,9,0,0,,,,,,0,3,0,1,185,22,163,0,155.68
2,2026-summer,8,2,1,3,0.0,0,0,0,,,,,,,,,
3,2026-summer,3,0,0,0,0.0,0,0,0,,,,,,,,,
4,2026-summer,8,0,0,0,0.0,0,0,0,,,,,,,,,
5,2026-summer,10,0,0,0,0.0,0,0,0,,,,,,,,,
6,2026-summer,9,10,4,14,4.0,3,1,0,,,,,,,,,
7,2026-summer,7,1,0,1,0.0,0,0,0,,,,,,,,,
8,2026-summer,7,1,0,1,0.0,1,0,0,,,,,,,,,
9,2026-summer,9,0,5,5,6.0,0,0,0,,,,,,,,,
10,2026-summer,9,1,1,2,4.0,0,0,1,,,,,,,,,
11,2026-summer,10,5,7,12,18.0,1,0,1,,,,,,,,,
12,2026-summer,5,2,4,6,2.0,0,0,0,,,,,,,,,
13,2026-summer,9,0,0,,,,,,2,3,0,0,195,30,165,0,220.85
14,2026-summer,7,7,4,11,0.0,2,0,0,,,,,,,,,
15,2026-summer,8,0,1,1,0.0,0,0,0,,,,,,,,,
16,2026-summer,9,1,2,3,0.0,1,0,0,,,,,,,,,
17,2026-summer,4,0,2,2,0.0,0,0,0,,,,,,,,,
18,2026-summer,9,0,0,0,4.0,0,0,0,,,,,,,,,
19,2026-summer,6,0,0,0,0.0,0,0,0,,,,,,,,,
20,2026-summer,3,0,0,,,,,,0,1,0,0,10,5,5,0,13.0
